Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
31-December-2021,669.00,686.40,669.00,678.55,680.778446765717251670,308260,10227,209856764.00,109710,35.59,17.40,9.55
30-December-2021,669.70,672.65,664.45,669.00,668.365086738399689194,118402,4365,79135763.00,42600,35.98,8.20,-0.70
29-December-2021,674.00,679.70,667.10,670.30,674.125205470954935955,96729,3548,65207457.00,29643,30.65,12.60,-3.70
28-December-2021,677.00,680.80,672.00,675.40,675.792908676981076973,150663,5422,101816987.00,65301,43.34,8.80,-1.60
27-December-2021,665.40,674.40,656.15,672.00,666.932716444935655875,340202,5861,226891844.00,71560,21.03,18.25,6.60
24-December-2021,679.10,681.30,662.70,667.45,668.835287989930118494,115195,4310,77046481.00,37464,32.52,18.60,-11.65
23-December-2021,676.30,684.40,672.65,678.25,678.345592398472862307,316147,12110,214456924.00,122412,38.72,11.75,1.95
22-December-2021,673.50,676.60,664.35,669.40,670.822883336985901088,273780,11128,183657889.00,131708,48.11,12.25,-4.10
21-December-2021,684.80,684.80,662.75,665.95,671.727106463736408869,348297,14707,233960536.00,169011,48.52,22.05,-18.85
20-December-2021,684.00,684.00,660.35,674.80,666.792808347226315581,454666,17769,303168019.00,225396,49.57,23.65,-9.20
17-December-2021,706.00,707.05,685.05,689.05,693.135500242711741328,253387,13298,175631525.00,90037,35.53,22.00,-16.95
16-December-2021,719.50,721.85,705.20,709.85,711.674204870282592177,193459,7728,137679780.00,63570,32.86,16.65,-9.65
15-December-2021,714.50,720.00,707.70,712.50,716.622945983420361683,338970,6102,242913680.00,136925,40.39,12.30,-2.00
14-December-2021,701.00,713.65,697.60,710.70,706.557054491705923211,303771,11773,214631543.00,130326,42.90,16.05,9.70
13-December-2021,697.00,711.60,692.00,704.05,705.649758468080182812,345710,9923,243950178.00,95533,27.63,19.60,7.05
10-December-2021,686.25,691.90,683.75,687.65,687.177745146985404246,170255,7535,116995447.00,63529,37.31,8.15,1.40
9-December-2021,699.00,700.00,688.00,694.05,693.335466874946220189,151079,3523,104748429.00,34850,23.07,12.00,-4.95
8-December-2021,697.00,701.40,687.70,696.95,691.373265428452416027,689003,13218,476358254.00,457706,66.43,13.70,-0.05
